rank	scene_id	selection_key_sha256	url_sha256	tar_name	url
0	43649774	00199719e8fb936af26fa612fe7261660c8d3c133da803a4468e139361e4185a	3976ce1a540956ed83acac79f961c720ec7b6471e11c8ef01abfa1a790242f2e	ca1m-train-43649774.tar	https://ml-site.cdn-apple.com/datasets/ca1m/train/ca1m-train-43649774.tar
1	48018894	00264f4cb2942150da673b1032e507ba112c3f4eb1f14db6b27861e9e3300caa	fd7079baaefb1556be6b26a9a2a60cb721c486cba5b3e1de0d2462d845831999	ca1m-train-48018894.tar	https://ml-site.cdn-apple.com/datasets/ca1m/train/ca1m-train-48018894.tar
2	42445723	0042a4f613d681a97f275d51cb070a6c03281f72a91da49efa053f2246e3e8ab	59e91775ffd210e2e9cf455a7b4bf36289942549e1181c705055fde26dd2548b	ca1m-train-42445723.tar	https://ml-site.cdn-apple.com/datasets/ca1m/train/ca1m-train-42445723.tar
3	43896550	004cdaef0b7ac6c3237a865b87afa90e2840e8f008b2a94007ee1b1db25bb725	ddc73be0129715ed931da6ea8bc243ad5c30f27bfc015227f9f46129046524c9	ca1m-train-43896550.tar	https://ml-site.cdn-apple.com/datasets/ca1m/train/ca1m-train-43896550.tar
4	42445047	005e9daf109d46ebcbac9f97b3136f8ee5511f2e764beafbb37351b4fe411957	83019edeff6800a78bbe3e2c6113eef1215fed5b6555419708e99e0b740bd137	ca1m-train-42445047.tar	https://ml-site.cdn-apple.com/datasets/ca1m/train/ca1m-train-42445047.tar
5	47333635	00619e9273e9a81963454ee9b9da9b62c69995bd6f5840a3466e838216de030b	e817fbe4da29ccee5692e4f01cbff1e31521560c3ac06175b99814b8f6e68f92	ca1m-train-47333635.tar	https://ml-site.cdn-apple.com/datasets/ca1m/train/ca1m-train-47333635.tar
6	48018778	006c67b2f2c07a8134ffe34b19fb58b994d8bbdabcf661c4662b916154c7be11	06443fe87277ced49d6116e6218b697da8d98153e4a267e44b7a06cacd8860e2	ca1m-train-48018778.tar	https://ml-site.cdn-apple.com/datasets/ca1m/train/ca1m-train-48018778.tar
7	48018328	007d8e68fd3cd904fd9c24554f2fc4e9f4e34c35355879e73ddb29a313539c58	1ee52aa4662ef15af849ea10615d0592555d59fb6e6d73d68d08d48b25bf3ffb	ca1m-train-48018328.tar	https://ml-site.cdn-apple.com/datasets/ca1m/train/ca1m-train-48018328.tar
8	47331771	008d8207eed015f675675c0ed49e5377f3371dc45ed069bc4bbe43d1f9933503	9a6b7ab802fb97a5120565439aea1b6af80a3dbcb29fc6dcd78a00e62b7af05b	ca1m-train-47331771.tar	https://ml-site.cdn-apple.com/datasets/ca1m/train/ca1m-train-47331771.tar
9	42444517	009db32993060358d1e74c5b6697ca561d16db32c3f370dbaa8c0b57f5104901	8a25fbf60f3ecc355df3cc5441191db387b26ed16f98021c9a4ea560b61fd7d5	ca1m-train-42444517.tar	https://ml-site.cdn-apple.com/datasets/ca1m/train/ca1m-train-42444517.tar
10	47334659	00a2054c4c99fa6a916a50957880ad46026cf086bf86230df51ec9663b167e18	71aafbf773cbae41e66a1e81829f80f8b1b822f415a0a84c905c874031b5e4e5	ca1m-train-47334659.tar	https://ml-site.cdn-apple.com/datasets/ca1m/train/ca1m-train-47334659.tar
11	47429678	00a53a05c16c1d16da183e8b479ea30ce3d6ec94c3b22f2ef26f620d9504def7	1d4b1b8ae1cb1165279175ff7df53d59ae43bea1726fc1f9cfab094dd895be1c	ca1m-train-47429678.tar	https://ml-site.cdn-apple.com/datasets/ca1m/train/ca1m-train-47429678.tar
12	48458610	00e3b6e22bb4785026cb1bc8932c2c4cead0bb05306f35d47bc48a3ba3206e86	46b1d4056de3fe401a12996061691825e50598fe5ca0eae6c7b2353e654f3a13	ca1m-train-48458610.tar	https://ml-site.cdn-apple.com/datasets/ca1m/train/ca1m-train-48458610.tar
13	47334464	01052530bc490fab826fea4b6ea0409a5d15e8d083e1cd1c095fe5dcd94a2b66	276c46c95e067aa581f59bc5d4e6eda47ba1d021dd7160b159beb8f1c5d15002	ca1m-train-47334464.tar	https://ml-site.cdn-apple.com/datasets/ca1m/train/ca1m-train-47334464.tar
14	47430540	0121d73eb04aea14d621526c8d4258164bd8de314f86334295a12a4e585b39ab	a485b2095661e8107ed26b03bffb8aca9c97d92fa44fe4e066bd34c8a4f93ddb	ca1m-train-47430540.tar	https://ml-site.cdn-apple.com/datasets/ca1m/train/ca1m-train-47430540.tar
15	47331931	014c5baeac1a87daf5ec5cf2f036a786ba0745db05984807b2fc9d45482c7a0c	61ad74581b2a56a23ab9a965aae9039f861bd614606730dbfdee88fa4940937d	ca1m-train-47331931.tar	https://ml-site.cdn-apple.com/datasets/ca1m/train/ca1m-train-47331931.tar
16	47670195	015d6163130f1b990bf305dbcaac0b47144772fddf265b452ad23c8bae6ae6fc	11d3be631f076de96369476f65ee56fdae4b521b53e19038089f9dbfb95ef5a7	ca1m-train-47670195.tar	https://ml-site.cdn-apple.com/datasets/ca1m/train/ca1m-train-47670195.tar
